,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
859,99,4,0,25,85,103
860,85,2,0,25,105,87
861,96,1,0,28,97,104
862,99,2,0,37,91,92
863,92,5,0,27,97,93
864,105,7,0,29,92,108
865,96,2,0,26,118,92
866,103,1,0,27,99,110
867,121,3,0,29,90,91
868,95,2,0,36,104,96
869,93,1,0,29,117,92
870,109,3,0,28,109,104
871,79,1,0,30,90,111
872,102,3,0,32,103,105
873,94,1,0,39,110,102
874,93,5,0,29,105,103
875,96,2,0,27,92,84
876,101,1,0,26,110,103
877,75,2,0,35,86,85
878,93,1,0,28,110,83
879,95,0,0,31,106,88
880,101,9,0,32,82,86
881,101,2,0,36,93,119
882,87,2,0,32,96,97
883,89,3,0,40,104,102
884,114,3,0,40,106,89
885,112,1,0,33,130,95
886,104,2,0,35,83,95
887,127,2,0,37,104,97
888,97,6,0,32,104,106
889,102,5,0,47,104,112
890,110,3,0,33,107,88
891,89,1,0,33,102,107
892,96,0,0,38,100,97
893,86,5,0,22,95,99
894,101,4,0,27,92,110
895,75,5,0,30,80,105
896,101,8,0,22,88,103
897,95,1,0,33,98,82
898,106,1,0,29,89,97
899,96,5,0,34,108,95
900,108,4,0,38,95,89
901,105,0,0,37,114,103
902,102,1,0,32,101,82
903,98,2,0,31,96,115
904,96,7,0,26,98,92
905,91,3,0,26,102,101
906,109,4,0,34,89,101
907,108,1,0,23,122,98
908,106,2,0,32,112,98
909,88,5,0,27,88,79
910,119,3,0,38,109,91
911,123,2,0,32,99,107
912,102,4,0,34,113,93
913,106,3,0,22,91,97
914,94,3,0,30,96,110
915,98,2,0,30,113,107
916,105,4,0,36,112,101
917,94,4,0,20,93,104
918,96,2,0,33,97,111
919,101,4,0,28,89,95
920,102,5,0,35,118,96
921,94,5,0,43,90,92
922,97,4,0,38,93,87
923,96,3,0,30,108,96
924,94,2,0,34,94,98
925,90,2,0,36,104,99
926,112,2,0,30,95,110
927,99,0,0,28,116,99
928,104,3,0,38,99,111
929,98,7,0,19,103,100
930,96,4,0,30,96,94
931,108,3,0,33,126,102
932,113,3,0,36,121,120
933,106,4,0,33,93,110
934,93,3,0,40,91,91
935,105,4,0,32,105,100
936,99,5,0,35,105,100
937,109,3,0,22,106,104
938,100,2,0,33,108,84
939,100,3,0,40,92,92
940,102,1,0,37,110,104
941,93,5,0,37,88,93
942,91,1,0,41,95,82
943,111,0,0,32,97,94
944,105,6,0,34,109,103
945,111,2,0,43,117,89
946,93,1,0,23,91,89
947,103,2,0,51,107,98
948,112,1,0,40,91,82
949,105,3,0,36,102,112
950,99,5,0,24,98,92
951,107,5,0,26,91,105
952,110,6,0,35,80,105
953,93,2,0,34,90,87
954,85,2,0,37,95,108
955,92,1,0,36,88,92
956,99,0,0,36,105,107
957,123,4,0,45,90,104
958,98,0,0,38,107,113
959,99,3,0,36,95,109
960,112,4,0,37,90,99
961,99,1,0,47,100,101
962,87,0,0,32,104,112
963,89,2,0,35,99,97
964,102,2,0,30,109,106
965,102,0,0,43,112,110
966,90,3,0,42,90,97
967,128,2,0,33,93,93
968,97,4,0,40,100,100
969,96,0,0,43,89,105
970,102,1,0,38,90,102
971,98,1,0,45,112,111
972,108,1,0,30,90,111
973,101,6,0,35,94,85
974,102,2,0,31,91,93
